WKT,name,description
"POINT (139.6949656 35.6700649)",Yoyogi Park,
"POINT (139.7021636 35.6584466)",Shibuya Sky,
"POINT (139.7005596 35.659482)",Shibuya Scramble Crossing,
"POINT (139.6993259 35.67639760000001)",Meiji Jingu,
"POINT (139.7029143 35.671599)",Harajuku Station,
